Время: | 0.0 | Температура: | 100.0 |
Время: | 0.1 | Температура: | 99.16 |
Время: | 0.2 | Температура: | 98.34 |
Время: | 0.3 | Температура: | 97.55 |
Время: | 0.4 | Температура: | 96.77 |
Время: | 0.5 | Температура: | 96.02 |
Время: | 0.6 | Температура: | 95.5 |
Время: | 0.7 | Температура: | 94.77 |
Время: | 0.8 | Температура: | 94.05 |
Время: | 0.9 | Температура: | 93.34 |
Время: | 1.0 | Температура: | 92.64 |
Время: | 1.1 | Температура: | 91.94 |
Время: | 1.2 | Температура: | 91.25 |
Время: | 1.3 | Температура: | 90.56 |
Время: | 1.4 | Температура: | 89.89 |
Время: | 1.5 | Температура: | 89.22 |
Время: | 1.6 | Температура: | 88.55 |
Время: | 1.7 | Температура: | 87.89 |
Время: | 1.8 | Температура: | 87.24 |
Время: | 1.9 | Температура: | 86.6 |
Время: | 2.0 | Температура: | 85.96 |
Время: | 2.1 | Температура: | 85.33 |
Время: | 2.2 | Температура: | 84.71 |
Время: | 2.3 | Температура: | 84.09 |
Время: | 2.4 | Температура: | 83.47 |
Время: | 2.5 | Температура: | 82.87 |
Время: | 2.6 | Температура: | 82.27 |
Время: | 2.7 | Температура: | 81.67 |
Время: | 2.8 | Температура: | 81.08 |
Время: | 2.9 | Температура: | 80.5 |
Время: | 3.0 | Температура: | 79.92 |
Время: | 3.1 | Температура: | 79.35 |
Время: | 3.2 | Температура: | 78.79 |
Время: | 3.3 | Температура: | 78.23 |
Время: | 3.4 | Температура: | 77.67 |
Время: | 3.5 | Температура: | 77.12 |
Время: | 3.6 | Температура: | 76.58 |
Время: | 3.7 | Температура: | 76.04 |
Время: | 3.8 | Температура: | 75.51 |
Время: | 3.9 | Температура: | 74.98 |
Время: | 4.0 | Температура: | 74.46 |
Время: | 4.1 | Температура: | 73.94 |
Время: | 4.2 | Температура: | 73.43 |
Время: | 4.3 | Температура: | 72.92 |
Время: | 4.4 | Температура: | 72.42 |
Время: | 4.5 | Температура: | 71.92 |
Время: | 4.6 | Температура: | 71.43 |
Время: | 4.7 | Температура: | 70.95 |
Время: | 4.8 | Температура: | 70.46 |
